=== Episode: 10x10_karmasik_ep0 (D3QN) ===
Start: (5, 3) | Goal: (1, 3)
Step  | Robot      | Action     | Mode    | Reward  | Total   | Dyn Obs Positions
124   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -46.50  | (2, 4), (5, 5)
125   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -24.25  | (1, 4), (5, 6)
126   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -48.50  | (1, 4), (5, 6)
127   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -26.25  | (2, 4), (5, 5)
128   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -50.50  | (3, 4), (5, 5)
129   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -28.25  | (4, 4), (5, 6)
130   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -52.50  | (4, 4), (5, 6)
131   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -30.25  | (3, 4), (5, 5)
132   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -54.50  | (2, 4), (5, 5)
133   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -32.25  | (1, 4), (5, 6)
134   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -56.50  | (1, 4), (5, 6)
135   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -34.25  | (2, 4), (5, 5)
136   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -58.50  | (3, 4), (5, 5)
137   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -36.25  | (4, 4), (5, 6)
138   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -60.50  | (4, 4), (5, 6)
139   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -38.25  | (3, 4), (5, 5)
140   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -62.50  | (2, 4), (5, 5)
141   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -40.25  | (1, 4), (5, 6)
142   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -64.50  | (1, 4), (5, 6)
143   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -42.25  | (2, 4), (5, 5)
144   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -66.50  | (3, 4), (5, 5)
145   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -44.25  | (4, 4), (5, 6)
146   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -68.50  | (4, 4), (5, 6)
147   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -46.25  | (3, 4), (5, 5)
148   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -70.50  | (2, 4), (5, 5)
149   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -48.25  | (1, 4), (5, 6)
150   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -72.50  | (1, 4), (5, 6)
151   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -50.25  | (2, 4), (5, 5)
152   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -74.50  | (3, 4), (5, 5)
153   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -52.25  | (4, 4), (5, 6)
154   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -76.50  | (4, 4), (5, 6)
155   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -54.25  | (3, 4), (5, 5)
156   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -78.50  | (2, 4), (5, 5)
157   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -56.25  | (1, 4), (5, 6)
158   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -80.50  | (1, 4), (5, 6)
159   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -58.25  | (2, 4), (5, 5)
160   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -82.50  | (3, 4), (5, 5)
161   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -60.25  | (4, 4), (5, 6)
162   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -84.50  | (4, 4), (5, 6)
163   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -62.25  | (3, 4), (5, 5)
164   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -86.50  | (2, 4), (5, 5)
165   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -64.25  | (1, 4), (5, 6)
166   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -88.50  | (1, 4), (5, 6)
167   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -66.25  | (2, 4), (5, 5)
168   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -90.50  | (3, 4), (5, 5)
169   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -68.25  | (4, 4), (5, 6)
170   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -92.50  | (4, 4), (5, 6)
171   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -70.25  | (3, 4), (5, 5)
172   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -94.50  | (2, 4), (5, 5)
173   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -72.25  | (1, 4), (5, 6)
174   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -96.50  | (1, 4), (5, 6)
175   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -74.25  | (2, 4), (5, 5)
176   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -98.50  | (3, 4), (5, 5)
177   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -76.25  | (4, 4), (5, 6)
178   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -100.50 | (4, 4), (5, 6)
179   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -78.25  | (3, 4), (5, 5)
180   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -102.50 | (2, 4), (5, 5)
181   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -80.25  | (1, 4), (5, 6)
182   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -104.50 | (1, 4), (5, 6)
183   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -82.25  | (2, 4), (5, 5)
184   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -106.50 | (3, 4), (5, 5)
185   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -84.25  | (4, 4), (5, 6)
186   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -108.50 | (4, 4), (5, 6)
187   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -86.25  | (3, 4), (5, 5)
188   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -110.50 | (2, 4), (5, 5)
189   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -88.25  | (1, 4), (5, 6)
190   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -112.50 | (1, 4), (5, 6)
191   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -90.25  | (2, 4), (5, 5)
192   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -114.50 | (3, 4), (5, 5)
193   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -92.25  | (4, 4), (5, 6)
